Course,A rate,Pass rate,Withdraw rate
AAH 1010,62.0,96.0,1.0
AAH 2050,86.0,100.0,0.0
AAH 3050,84.0,100.0,0.0
ACCT 2010,30.0,82.79166666666666,6.0
ACCT 2020,28.0,84.83333333333334,4.0
ACCT 3030,31.77777777777778,90.77777777777777,4.333333333333333
ACCT 3110,22.2,80.8,6.4
ACCT 3120,34.44444444444444,88.88888888888889,4.888888888888889
ACCT 3130,45.4,97.8,0.5
ACCT 3220,18.666666666666668,92.66666666666667,0.0
ACCT 4040,34.833333333333336,91.33333333333334,1.3333333333333333
ACCT 4080,84.0,100.0,0.0
ACCT 4100,41.0,97.5,1.5
ACCT 4150,57.333333333333336,96.33333333333334,1.3333333333333333
ACCT 8510,44.5,98.0,0.0
ACCT 8530,65.33333333333333,94.0,2.0
ACCT 8620,54.0,98.5,0.0
ACCT 8630,79.0,97.0,0.0
ACCT 8680,58.666666666666664,97.33333333333333,0.0
ACCT 8720,42.0,97.0,0.0
AGED 2040,47.0,94.0,0.0
AGED 4030,88.0,96.0,4.0
AGM 1010,42.0,89.0,0.0
AGM 2050,16.0,91.0,0.0
AGM 2200,36.0,94.0,0.0
AGM 2210,66.0,97.0,1.0
AGM 3050,36.0,91.0,6.0
AGM 4000,39.0,96.0,0.0
AGM 4020,50.0,100.0,0.0
AGM 4040,63.0,98.0,3.0
AGM 4060,26.0,100.0,0.0
AGM 4600,64.0,100.0,0.0
AGRB 2050,21.333333333333332,77.0,2.6666666666666665
AGRB 3090,57.5,98.5,1.0
AGRB 3570,18.0,78.0,3.0
AGRB 4080,13.0,79.0,0.0
AGRB 4090,19.0,88.0,0.0
AGRB 4120,11.0,78.0,0.0
AGRB 4260,77.0,100.0,0.0
AGRB 4520,15.0,78.0,0.0
AGRB 8080,57.0,100.0,0.0
AL 3440,92.0,96.0,0.0
AL 3490,74.41666666666667,97.66666666666667,1.3333333333333333
AL 3500,30.5,78.0,4.0
AL 3530,32.5,97.5,0.0
AL 3600,58.0,92.0,4.0
AL 3610,65.8,95.80000000000001,1.6
AL 3620,43.0,89.66666666666667,1.3333333333333333
AL 3720,70.0,92.0,4.0
AL 3740,75.0,100.0,0.0
AL 3760,73.5,90.0,4.0
AL 4380,73.0,96.0,0.0
AL 4490,72.0,100.0,0.0
AL 8380,78.0,100.0,0.0
AL 8440,71.33333333333333,98.0,2.0
AL 8490,80.33333333333333,96.99999999999999,1.6666666666666667
AL 8530,91.0,100.0,0.0
AL 8640,68.0,100.0,0.0
AL 8650,78.0,100.5,0.0
ANTH 2010,54.2,93.80000000000001,2.0
ANTH 2050,91.0,100.0,0.0
ANTH 3010,15.0,78.0,9.0
ANTH 3200,12.0,73.0,8.0
ANTH 3250,49.5,99.5,0.0
ANTH 3510,70.0,95.0,5.0
ANTH 3530,57.0,90.0,5.0
ANTH 4310,46.0,85.0,8.0
ANTH 4410,75.0,100.0,0.0
ANTH 4510,77.0,100.0,0.0
ANTH 4850,43.0,100.0,0.0
APEC 8220,43.0,100.0,0.0
ARCH 1010,62.0,89.0,0.0
ARCH 2510,58.333333333333336,94.33333333333334,1.3333333333333333
ARCH 2700,57.0,97.0,0.0
ARCH 2710,42.0,92.0,0.0
ARCH 3040,69.0,97.0,0.0
ARCH 3500,68.57142857142857,100.0,0.0
ARCH 3520,50.0,100.0,0.0
ARCH 3530,64.0,100.0,0.0
ARCH 4010,71.4,94.6,2.6
ARCH 4140,64.5,100.0,0.0
ARCH 4520,80.0,95.0,0.0
ARCH 4710,59.0,100.0,0.0
ARCH 4890,79.0,100.0,0.0
ARCH 4990,40.0,90.0,10.0
ARCH 6850,78.0,89.0,11.0
ARCH 6990,45.0,100.0,0.0
ARCH 8050,87.0,94.0,0.0
ARCH 8100,30.0,95.0,5.0
ARCH 8200,78.0,100.0,0.0
ARCH 8210,88.0,97.0,2.0
ARCH 8410,40.0,85.0,5.0
ARCH 8510,24.333333333333332,100.0,0.0
ARCH 8600,65.0,90.0,5.0
ARCH 8700,74.0,95.0,5.0
ARCH 8720,91.0,99.0,2.0
ARCH 8810,83.5,99.5,0.0
ARCH 8950,33.0,88.0,11.0
ART 1050,69.0,100.0,0.0
ART 1510,75.5,87.5,3.0
ART 1550,75.0,94.0,0.0
ART 2060,43.0,79.0,0.0
ART 2070,50.0,92.0,0.0
ART 2100,93.0,99.25,0.75
ART 2110,77.0,85.0,8.0
ART 2150,53.0,93.0,0.0
ART 2210,82.0,91.0,0.0
ART 3210,73.0,100.0,0.0
ART 6900,50.0,100.0,0.0
ART 8210,50.0,100.0,0.0
AS 3090,89.0,100.0,0.0
ASL 1010,69.25,100.0,0.0
ASL 1020,61.0,97.0,0.0
ASL 2010,63.0,95.0,1.25
ASL 2020,71.66666666666667,98.66666666666667,0.0
ASL 3970,67.0,67.0,0.0
ASTR 1010,59.5,98.5,0.0
ASTR 1020,55.0,95.0,2.0
ASTR 1030,72.66666666666667,97.66666666666667,0.6666666666666666
ASTR 1040,65.25,97.25,1.0
AUD 1850,58.0,83.0,17.0
AUD 3800,60.0,100.0,0.0
AUE 2010,80.0,100.0,0.0
AUE 2020,93.0,100.0,0.0
AUE 3010,79.0,100.0,0.0
AUE 3110,34.0,96.0,0.0
AUE 6080,19.0,101.0,0.0
AUE 6600,40.0,94.0,7.0
AUE 6610,67.0,91.0,0.0
AUE 8150,59.0,100.0,0.0
AUE 8260,33.0,100.0,0.0
AUE 8270,74.0,100.0,0.0
AUE 8330,60.0,100.0,0.0
AUE 8350,61.0,100.0,0.0
AUE 8650,82.0,100.0,0.0
AUE 8700,39.0,95.0,0.0
AUE 8810,70.0,91.0,6.5
AUE 8830,62.0,100.0,0.0
AUE 8930,59.0,93.5,6.5
AVS 1000,86.0,94.0,0.0
AVS 1500,36.5,90.5,5.0
AVS 1510,59.5,98.89999999999999,0.4
AVS 2040,78.0,101.0,0.0
AVS 3010,75.5,100.0,0.0
AVS 3020,89.0,100.0,0.0
AVS 3100,87.0,100.0,0.0
AVS 3700,15.0,65.0,20.0
AVS 3750,72.0,99.0,0.0
AVS 4090,83.25,100.0,0.0
AVS 4100,87.0,100.0,0.0
AVS 4110,51.0,88.0,5.0
AVS 4140,71.0,99.0,0.0
AVS 4150,78.0,100.0,0.0
AVS 4160,64.0,101.0,0.0
AVS 4500,30.0,100.0,0.0
AVS 4530,30.0,86.0,4.0
AVS 4650,45.0,94.0,4.0
AVS 6110,25.0,88.0,0.0
AVS 6140,60.0,100.0,0.0
AVS 8010,71.0,100.0,0.0
AVS 8080,33.0,83.0,0.0
BCHM 1030,86.0,97.0,0.0
BCHM 3010,26.0,73.0,5.0
BCHM 3050,49.333333333333336,92.33333333333334,0.6666666666666666
BCHM 4310,71.0,98.0,0.0
BCHM 4330,75.0,93.66666666666666,2.0
BCHM 4400,79.0,88.0,2.0
BCHM 4430,86.0,98.0,2.0
BCHM 4930,87.33333333333333,100.0,0.0
BCHM 8100,67.0,100.0,0.0
BE 3100,24.0,82.0,0.0
BE 3200,70.0,100.0,0.0
BE 4100,55.0,101.0,0.0
BIOE 1010,82.0,96.0,5.0
BIOE 2000,91.0,100.0,0.0
BIOE 2010,95.0,100.0,0.0
BIOE 3020,53.0,96.0,4.0
BIOE 3100,75.0,97.0,0.0
BIOE 3200,76.0,96.0,1.0
BIOE 3210,88.0,96.0,3.0
BIOE 3460,65.0,86.0,3.0
BIOE 3470,46.0,96.0,0.0
BIOE 3700,50.0,97.0,0.0
BIOE 4000,93.0,100.0,0.0
BIOE 4120,80.0,100.0,0.0
BIOE 4200,86.0,100.0,0.0
BIOE 4480,50.0,100.0,0.0
BIOE 4500,57.0,86.0,0.0
BIOE 4510,81.85714285714286,85.0,15.142857142857142
BIOE 6120,83.0,100.0,0.0
BIOE 6380,85.0,85.0,8.0
BIOE 6400,22.0,89.0,11.0
BIOE 8020,55.0,91.0,9.0
BIOE 8160,88.0,101.0,0.0
BIOE 8600,86.0,100.0,0.0
BIOE 8620,94.0,100.0,0.0
BIOE 8660,76.0,100.0,0.0
BIOE 8700,60.0,100.0,0.0
BIOL 1010,73.0,95.0,0.0
BIOL 1030,43.4,91.79999999999998,1.6
BIOL 1040,43.0,93.0,3.0
BIOL 1050,64.9,95.18,1.5
BIOL 1090,43.0,97.0,1.0
BIOL 1100,37.25,93.25,2.0
BIOL 1200,85.0,96.66666666666667,2.1666666666666665
BIOL 1230,40.0,86.0,8.0
BIOL 2220,27.5,81.0,4.5
BIOL 3000,73.5,97.5,1.5
BIOL 3030,48.666666666666664,88.66666666666667,2.6666666666666665
BIOL 3040,36.0,75.0,1.0
BIOL 3070,61.285714285714285,96.57142857142857,1.7142857142857142
BIOL 3080,50.833333333333336,95.5,1.5
BIOL 3110,85.0,100.0,0.0
BIOL 3150,47.0,89.0,4.0
BIOL 3350,39.0,93.0,2.0
BIOL 3510,74.0,101.0,0.0
BIOL 3530,78.0,101.0,0.0
BIOL 3940,94.0,100.0,0.0
BIOL 4020,59.5,97.5,2.5
BIOL 4030,8.0,78.0,8.0
BIOL 4040,23.0,75.0,7.0
BIOL 4060,15.5,87.0,2.0
BIOL 4070,39.5,94.5,2.5
BIOL 4200,69.0,97.0,0.0
BIOL 4250,37.0,78.0,8.0
BIOL 4260,67.5,96.5,3.5
BIOL 4300,38.0,88.0,0.0
BIOL 4410,35.0,94.0,1.0
BIOL 4430,36.0,91.0,2.0
BIOL 4440,68.0,97.0,3.0
BIOL 4510,45.0,81.0,0.0
BIOL 4610,66.0,95.16666666666667,1.5
BIOL 4620,82.5,98.66666666666666,1.3333333333333333
BIOL 4670,93.0,97.0,0.0
BIOL 4750,22.0,79.0,9.0
BIOL 4930,87.25,100.0,0.0
BIOL 6030,63.0,89.0,13.0
BIOL 8150,89.0,100.0,0.0
BIOL 8400,83.0,96.0,4.0
BIOL 8420,72.0,99.0,2.0
BIOL 8440,63.0,98.0,0.0
BSHS 3330,67.0,94.0,7.0
BUS 1010,61.892857142857146,96.10714285714286,2.392857142857143
BUS 2010,90.63636363636364,98.27272727272728,1.6363636363636365
BUS 2700,78.5,100.5,0.0
BUS 3010,83.1,98.6,0.9
BUS 3700,64.0,100.0,0.0
CCPD 1400,87.0,94.0,0.0
CCPD 1680,58.0,75.0,25.0
CE 2010,48.666666666666664,88.33333333333333,4.833333333333333
CE 2060,25.0,96.0,2.0
CE 2080,56.0,98.0,3.0
CE 2100,84.0,100.0,0.0
CE 2200,94.0,97.0,3.0
CE 2550,35.0,93.0,2.0
CE 3010,45.0,95.5,1.0
CE 3110,60.0,100.0,0.0
CE 3210,19.0,93.0,2.0
CE 3310,44.5,99.0,0.0
CE 3410,41.5,90.5,1.5
CE 3420,22.0,82.0,1.0
CE 3430,83.66666666666667,100.0,0.0
CE 3510,92.0,100.0,0.0
CE 3520,70.0,97.0,1.0
CE 3530,96.0,100.0,0.0
CE 4010,45.0,90.0,5.0
CE 4020,37.0,94.0,0.0
CE 4070,56.0,96.0,2.0
CE 4100,25.0,100.0,0.0
CE 4240,33.0,90.0,0.0
CE 4260,33.0,99.0,0.0
CE 4310,72.0,96.0,0.0
CE 4330,80.0,100.0,0.0
CE 4350,58.0,100.0,0.0
CE 4470,93.0,100.0,0.0
CE 4560,65.0,101.0,0.0
CE 4590,51.0,98.0,0.0
CE 4910,86.5,98.0,2.0
CE 6010,71.0,92.0,7.0
CE 6070,82.0,94.0,6.0
