Subject,Course Number,Section,Course Title,Credit Hours,Instructor,Attributes,Meeting 1 Days,Meeting 1 Start Time,Meeting 1 End Time,Meeting 1 Class Type,Meeting 1 Building,Meeting 1 Room,Meeting 1 Start Date,Meeting 1 End Date,Meeting 2 Days,Meeting 2 Start Time,Meeting 2 End Time,Meeting 2 Class Type,Meeting 2 Building,Meeting 2 Room,Meeting 2 Start Date,Meeting 2 End Date,Meeting 3 Days,Meeting 3 Start Time,Meeting 3 End Time,Meeting 3 Class Type,Meeting 3 Building,Meeting 3 Room,Meeting 3 Start Date,Meeting 3 End Date
AAH,1010,001,Survey of Art and Architectural History I,3,Beth Ann Lauritis (Primary),Arts & Hum Non-Lit Gen Ed Req,Tuesday Thursday,11:00  AM,12:15  PM,Class,Lee Hall,111,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,1010,002,Surv of Art & Arch I (HON),3,Beth Ann Lauritis (Primary),Arts & Hum Non-Lit Gen Ed Req,Tuesday Thursday,11:00  AM,12:15  PM,Class,Lee Hall,111,08/20/2025,12/12/2025,Thursday,05:00  PM,06:00  PM,Class,No Building Assigned,ROOM,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,2050,001,History and Theory of Art I,3,Beth Ann Lauritis (Primary),,Tuesday Thursday,12:30  PM,01:45  PM,Class,Lee Hall,100,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,3050,001,Contemporary Art History,3,Andrea V Feeser (Primary),GlobalChall Gen Ed Req,Tuesday Thursday,12:30  PM,01:45  PM,Class,Watt Family Innovation Center,310,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,4110,001,Directed Research in Art History I,3,,Variable Title,None,,,Class,None,None,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,4110,002,Directed Research in Art History I,3,,Variable Title,None,00:01  AM,00:02  AM,Class,None,None,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,4300,001,Twentieth Century Art I,3,Andrea V Feeser (Primary),Consent Required,Tuesday,05:00  PM,07:30  PM,Class,Watt Family Innovation Center,310,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,6110,001,Directed Research in Art History I,3,,Variable Title,None,,,Class,None,None,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,6110,002,Directed Research in Art History I,3,,Variable Title,None,00:01  AM,00:02  AM,Class,None,None,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAH,6300,001,Twentieth Century Art I,3,Andrea V Feeser (Primary),Consent Required,Tuesday,05:00  PM,07:30  PM,Class,Watt Family Innovation Center,310,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCT,2010,001,Financial Accounting Concepts,3,Joseph Achinapura (Primary),Ethical Judgement Gen Ed,Monday Wednesday Friday,08:00  AM,08:50  AM,Class,Powers College of Business,G019,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCT,2010,002,Financial Accounting Concepts,3,Joseph Achinapura (Primary),Ethical Judgement Gen Ed,Monday Wednesday Friday,09:05  AM,09:55  AM,Class,Powers College of Business,G019,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCT,2010,003,Financial Accounting Concepts,3,Julie H Grant (Primary),Ethical Judgement Gen Ed,Monday Wednesday Friday,09:05  AM,09:55  AM,Class,Powers College of Business,229,08/20/2025,12/12/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
